Date,Open,High,Low,Close,Adj Close,Volume
1993-01-01,43.968700,43.968700,43.750000,43.937500,27.357281,1003200
1993-02-01,43.968700,45.125000,42.812500,44.406200,27.649111,5417600
1993-03-01,44.562500,45.843700,44.218700,45.187500,28.135601,3019200
1993-04-01,45.250000,45.250000,43.281200,44.031200,27.545109,2697200
1993-05-01,44.093700,45.656200,43.843700,45.218700,28.287992,1808000
1993-06-01,45.375000,45.812500,44.218700,45.062500,28.190268,3438000
1993-07-01,45.125000,45.218700,44.156200,44.843700,28.252207,6117600
1993-08-01,44.906200,46.562500,44.843700,46.562500,29.335085,5440100
1993-09-01,46.406200,46.593700,44.812500,45.937500,28.941322,4369900
1993-10-01,45.875000,47.156200,45.718700,46.843700,29.696095,6972900
1993-11-01,46.781200,47.000000,45.531200,46.343700,29.379150,5351100
1993-12-01,46.593700,47.156200,46.375000,46.593700,29.537640,6128000
1994-01-01,46.593700,48.312500,46.406200,48.218700,30.777048,6837100
1994-02-01,48.156200,48.281200,46.562500,46.812500,29.879513,10974400
1994-03-01,46.812500,47.312500,43.531200,44.593700,28.463274,14705500
1994-04-01,43.343700,45.359299,43.343700,45.093700,28.948458,11429000
1994-05-01,45.093700,45.937500,44.171799,45.812500,29.409895,8545100
1994-06-01,45.703098,46.562500,44.000000,44.468700,28.547222,10352700
1994-07-01,44.687500,46.046799,44.375000,45.906200,29.664883,5452100
1994-08-01,45.937500,47.984299,45.656200,47.656200,30.795746,7945800
1994-09-01,47.500000,47.718700,45.734299,46.171799,29.836527,6309300
1994-10-01,46.203098,47.703098,45.000000,47.484299,30.871286,5437600
1994-11-01,47.281200,47.328098,44.609299,45.593700,29.642134,4807300
1994-12-01,45.640598,46.406200,44.687500,45.562500,29.621864,8568500
1995-01-01,45.703098,47.234299,45.687500,47.093700,30.861458,2768000
1995-02-01,47.156200,49.156200,47.000000,49.015598,32.120918,5954800
1995-03-01,48.968700,50.890598,48.218700,50.109299,32.837631,4538000
1995-04-01,50.093700,51.671799,50.062500,51.593700,33.993404,4395200
1995-05-01,51.546799,53.640598,51.390598,53.640598,35.342033,6986200
1995-06-01,53.406200,55.156200,52.750000,54.406200,35.846466,5790900
1995-07-01,54.468700,56.703098,54.203098,56.156200,37.216770,5508200
1995-08-01,56.234299,56.796799,55.421799,56.406200,37.382446,8100100
1995-09-01,56.390598,58.906200,56.343700,58.484299,38.759697,7431600
1995-10-01,58.484299,59.187500,57.265598,58.312500,38.852123,8944800
1995-11-01,58.281200,61.203098,58.234299,60.906200,40.580235,8841700
1995-12-01,60.984299,62.796799,60.578098,61.484299,40.965389,9816800
1996-01-01,61.406200,63.687500,59.640598,63.671799,42.685158,10661800
1996-02-01,63.609299,66.687500,63.437500,63.875000,42.821362,14850400
1996-03-01,64.640602,65.968697,62.000000,64.687500,43.366062,19022700
1996-04-01,65.000000,65.812500,62.125000,65.390602,44.032093,14999300
1996-05-01,65.375000,68.437500,63.078098,66.875000,45.031673,17453200
1996-06-01,66.890602,68.500000,66.156197,67.109299,45.189430,16871800
1996-07-01,67.281197,67.703102,60.375000,64.093697,43.387520,28811500
1996-08-01,64.156197,67.343697,64.062500,65.328102,44.223122,15593100
1996-09-01,64.468697,69.250000,64.375000,68.625000,46.454914,17216100
1996-10-01,68.703102,71.625000,68.437500,70.843697,48.203663,14791800
1996-11-01,70.984299,76.687500,70.265602,76.015602,51.722725,24089700
1996-12-01,75.921799,76.578102,71.875000,73.843697,50.244892,34952800
1997-01-01,74.375000,79.687500,72.750000,78.406197,53.611523,43623700
1997-02-01,78.718697,82.000000,77.125000,79.156197,54.124340,30028800
1997-03-01,78.750000,81.796799,75.250000,75.375000,51.538883,37514300
1997-04-01,75.250000,80.687500,73.312500,80.093697,54.975117,57679300
1997-05-01,80.218697,85.562500,79.312500,85.156197,58.449928,37473400
1997-06-01,85.343697,90.500000,84.078102,88.312500,60.616352,47332500
1997-07-01,88.500000,96.031197,88.390602,95.312500,65.675804,65359700
1997-08-01,95.500000,96.625000,89.343697,90.375000,62.273579,99046800
1997-09-01,90.687500,96.375000,90.250000,94.375000,65.029762,78642200
1997-10-01,95.250000,98.500000,84.375000,92.062500,63.669048,137440500
1997-11-01,93.187500,96.812500,90.093697,95.625000,66.132805,93157400
1997-12-01,96.218697,99.000000,92.375000,97.062500,67.126961,79162300
1998-01-01,97.312500,99.562500,90.906197,98.312500,68.262009,104582300
1998-02-01,99.906197,105.531197,99.718697,105.125000,72.992203,69733700
1998-03-01,105.250000,111.531197,103.156197,109.937500,76.333679,87316900
1998-04-01,110.312500,113.437500,107.625000,111.343697,77.532181,118629400
1998-05-01,111.750000,113.312500,107.578102,109.031197,75.921906,116264800
1998-06-01,108.968697,114.687500,107.500000,113.312500,78.903122,141993600
1998-07-01,114.062500,119.234299,111.312500,111.781197,78.084511,155280200
1998-08-01,111.781197,112.421799,95.000000,96.000000,67.060570,268542800
1998-09-01,96.062500,107.000000,93.625000,101.750000,71.077225,269370500
1998-10-01,100.031197,110.906197,92.218697,110.000000,77.111687,249152700
1998-11-01,110.812500,119.718697,110.187500,116.125000,81.405373,136369000
1998-12-01,116.125000,124.750000,113.750000,123.312500,86.443916,156026700
1999-01-01,123.375000,128.500000,120.375000,127.656197,89.786232,141419000
1999-02-01,128.687500,128.843704,121.328102,123.562500,86.906929,164624900
1999-03-01,123.656197,132.625000,121.781197,128.375000,90.291786,148191100
1999-04-01,129.687500,137.500000,128.125000,133.250000,93.947899,156755700
1999-05-01,133.437500,138.000000,128.000000,130.203094,91.799675,182566900
1999-06-01,130.125000,137.500000,128.015594,137.000000,96.591866,160692200
1999-07-01,137.000000,142.250000,132.562500,132.750000,93.877968,115669100
1999-08-01,132.750000,138.781204,127.000000,132.062500,93.391701,142925900
1999-09-01,132.937500,136.625000,125.562500,128.750000,91.049179,167972700
1999-10-01,127.937500,137.687500,123.437500,137.000000,97.156303,196829400
1999-11-01,136.500000,143.000000,134.593704,139.281204,98.774063,125042200
1999-12-01,139.312500,147.562500,139.000000,146.875000,104.159386,121529300
2000-01-01,148.250000,148.250000,135.000000,139.562500,99.216515,156770800
2000-02-01,139.750000,144.562500,132.718704,137.437500,97.705803,186938300
2000-03-01,137.625000,155.750000,135.031204,150.375000,106.903160,247594900
2000-04-01,150.125000,153.109299,133.500000,145.093704,103.410843,229246200
2000-05-01,146.562500,148.484299,136.500000,142.812500,101.785004,161024000
2000-06-01,143.687500,149.156204,143.000000,145.281204,103.544464,127146000
2000-07-01,145.437500,151.984299,141.515594,143.000000,102.158577,106780100
2000-08-01,143.625000,153.093704,142.625000,152.343704,108.833649,102365500
2000-09-01,153.250000,153.593704,142.125000,143.625000,102.605064,113203000
2000-10-01,144.281204,145.750000,130.156204,142.953094,102.381638,178392400
2000-11-01,142.250000,144.296799,129.750000,132.281204,94.738571,156699900
2000-12-01,133.187500,139.562500,125.531197,131.187500,93.955246,165416700
2001-01-01,132.000000,138.699997,127.562500,137.020004,98.433441,181296400
2001-02-01,137.100006,137.990005,121.800003,123.949997,89.044098,178607000
2001-03-01,124.050003,127.750000,108.040001,116.690002,83.828613,318187200
2001-04-01,116.300003,127.269997,109.300003,126.660004,91.235924,251839700
2001-05-01,125.070000,132.089996,123.440002,125.949997,90.724495,208040000
2001-06-01,126.199997,129.229996,120.400002,122.599998,88.311424,203578200
2001-07-01,122.800003,124.320000,116.750000,121.349998,87.659592,196892900
2001-08-01,121.970001,123.250000,112.040001,114.150002,82.458534,269599600
2001-09-01,113.849998,116.169998,93.800003,104.440002,75.444344,419156100
2001-10-01,103.900002,111.790001,102.830002,105.800003,76.713509,512612000
2001-11-01,106.599998,116.900002,105.699997,114.050003,82.695457,372515000
2001-12-01,113.650002,118.000000,112.000000,114.300003,82.876694,308403900
2002-01-01,115.110001,117.989998,108.400002,113.180000,82.346886,349380000
2002-02-01,113.089996,113.300003,107.820000,111.150002,80.869926,424492600
2002-03-01,111.720001,117.900002,111.510002,114.519997,83.321846,385578100
2002-04-01,114.230003,115.099998,106.629997,107.860001,78.700996,404461000
2002-05-01,107.970001,111.250000,104.900002,107.220001,78.234047,452626500
2002-06-01,107.089996,107.599998,95.190002,98.959999,72.207047,534883500
2002-07-01,99.180000,99.800003,77.680000,91.160004,66.748520,1124248800
2002-08-01,90.879997,97.150002,83.550003,91.779999,67.202477,936191200
2002-09-01,90.730003,93.330002,80.900002,81.790001,59.887691,1013828600
2002-10-01,82.430000,91.290001,77.070000,88.519997,65.106010,1344248100
2002-11-01,88.349998,94.949997,87.449997,93.980003,69.121857,818243400
2002-12-01,95.470001,96.050003,87.110001,88.230003,64.892754,728285900
2003-01-01,88.849998,93.860001,84.150002,86.059998,63.607738,911319900
2003-02-01,86.139999,86.809998,81.000000,84.900002,62.750404,862248300
2003-03-01,85.260002,89.879997,79.379997,84.739998,62.632130,1156870200
2003-04-01,85.250000,92.800003,84.910004,91.910004,68.205452,996114200
2003-05-01,91.919998,97.089996,90.500000,96.949997,71.945572,881509900
2003-06-01,97.529999,102.180000,96.669998,97.629997,72.450211,867970200
2003-07-01,97.250000,101.900002,96.430000,99.389999,74.022675,895260500
2003-08-01,99.190002,101.820000,96.339996,101.440002,75.549469,772702000
2003-09-01,101.639999,104.699997,99.250000,99.949997,74.439751,818513400
2003-10-01,100.239998,105.970001,100.199997,105.300003,78.725349,831700900
2003-11-01,105.750000,106.949997,103.620003,106.449997,79.585121,630654200
